frame_number,length_pixels,curvature_deg
0,354.6,0.43882767
1,356.1,0.432887839
2,356.5,0.441420314
3,355.4,0.434511346
4,359.8,0.457481729
5,353.9,0.444730759
6,352.7,0.427466388
7,354.4,0.454487791
8,354.0,0.432335272
9,357.4,0.441146607
10,354.9,0.438883134
11,355.4,0.446289546
12,355.1,0.451027269
13,357.2,0.436666515
14,356.8,0.451745845
15,353.8,0.436811972
16,357.9,0.464184837
17,358.1,0.463528533
18,357.4,0.446258122
19,357.1,0.437949351
20,356.1,0.437367451
21,356.1,0.436190121
22,357.5,0.446480803
23,353.8,0.437997558
24,353.6,0.430080684
25,357.4,0.44261263
26,354.5,0.435862638
27,356.4,0.473994699
28,354.8,0.456502893
29,357.1,0.449346692
30,355.2,0.453218208
31,354.9,0.455443854
32,353.9,0.430388078
33,354.6,0.442144789
34,357.9,0.436338183
35,356.5,0.4361638
36,355.1,0.440466472
37,356.5,0.440101258
38,357.4,0.43757483
39,357.4,0.438814574
40,352.9,0.442878486
41,352.8,0.433985759
42,357.8,0.44015855
43,354.9,0.4270296
44,358.2,0.433697842
45,355.2,0.448422856
46,356.5,0.440321447
47,356.5,0.43538921
48,357.1,0.441347533
49,358.2,0.445128051
50,356.9,0.446692829
51,353.8,0.430847824
52,357.1,0.444015786
53,356.7,0.447323531
54,352.7,0.431432724
55,356.9,0.446147208
56,355.6,0.436367538
57,355.8,0.439463973
58,352.2,0.431665964
59,357.1,0.440701059
60,354.9,0.440872684
61,353.8,0.445608669
62,355.1,0.442493692
63,352.3,0.442661469
64,356.5,0.443512297
65,355.5,0.440028856
66,356.1,0.440277757
67,354.6,0.437811491
68,354.9,0.450674577
69,356.9,0.463144868
70,353.0,0.435283107
71,353.0,0.426163408
72,352.7,0.434121706
73,356.1,0.449000818
74,356.5,0.43939749
75,357.7,0.43986786
76,357.9,0.443996467
77,353.9,0.442628387
78,357.4,0.448459093
79,354.1,0.436583593
80,357.4,0.435925331
81,355.4,0.435075366
82,356.5,0.446411809
83,356.4,0.444798248
84,358.1,0.433828108
85,354.4,0.434138796
86,354.4,0.464266869
87,355.2,0.451095798
88,356.2,0.446871279
89,355.8,0.426184705
90,354.4,0.446328504
91,355.2,0.447686348
92,355.5,0.442018266
93,353.1,0.432722326
94,356.0,0.428351726
95,356.5,0.446750735
96,354.5,0.439630944
97,359.6,0.447767082
98,356.9,0.451445558
99,357.4,0.436497685
100,355.5,0.435906731
101,353.1,0.428955289
102,359.1,0.444342288
103,353.9,0.431675024
104,355.2,0.447345852
105,355.8,0.430526368
106,355.8,0.44310163
107,358.4,0.448028218
108,355.8,0.421820876
109,359.8,0.443625436
110,357.4,0.444175923
111,356.5,0.443027199
112,353.0,0.43889472
113,353.9,0.458394329
114,358.2,0.445780513
115,354.5,0.440666759
116,356.5,0.439802104
117,356.5,0.439146114
118,356.5,0.441159058
119,352.5,0.430528478
120,354.2,0.43898676
121,355.8,0.442415674
122,352.2,0.449440501
123,353.7,0.443975126
124,355.4,0.436890672
125,357.4,0.441084649
126,353.9,0.440184611
127,355.1,0.435166847
128,357.1,0.45642037
129,352.0,0.434615803
130,356.9,0.466123343
131,356.1,0.434772465
132,357.9,0.441665712
133,358.2,0.448619289
134,355.5,0.435089936
135,357.1,0.436685783
136,356.4,0.435818137
137,356.5,0.440856457
138,355.1,0.435456229
139,355.5,0.44197485
140,356.5,0.436460452
141,354.9,0.440580587
142,353.8,0.430163671
143,357.9,0.450184292
144,356.5,0.43696806
145,357.9,0.440571737
146,356.5,0.443399299
147,357.1,0.438375168
148,352.9,0.436337721
149,356.3,0.450361084
150,355.3,0.434057084
151,357.4,0.440577744
152,356.1,0.449394843
153,354.6,0.445893971
154,357.4,0.433308866
155,354.6,0.436962909
156,357.7,0.458181816
157,351.3,0.438168377
158,357.9,0.440443072
159,354.0,0.44236432
160,356.5,0.438165155
161,356.4,0.438409218
162,355.8,0.427636102
163,357.2,0.436923749
164,353.7,0.442484037
165,355.4,0.454745012
166,356.9,0.440356087
167,356.4,0.438644291
168,353.5,0.453419545
169,354.8,0.437688424
170,356.5,0.444397576
171,356.5,0.443231886
172,356.2,0.432313078
173,353.9,0.438150748
174,355.2,0.443971977
175,355.3,0.435678326
176,355.4,0.434035152
177,354.0,0.435737864
178,353.7,0.44018689
179,351.8,0.436199772
180,357.5,0.439730064
181,355.1,0.436947682
182,353.5,0.432204414
183,357.6,0.444118863
184,353.0,0.436492119
185,352.8,0.438373885
186,354.9,0.43994642
187,355.8,0.442356086
188,355.4,0.428497361
189,355.5,0.443722103
190,354.5,0.440267873
191,355.4,0.442947288
192,354.4,0.451874913
193,353.1,0.430623092
194,357.9,0.434969251
195,356.5,0.439115549
196,355.2,0.435419802
197,354.4,0.443917289
198,353.1,0.447378
199,356.4,0.426205394
